report_date,product,put_call,contract,strike,volume,oi,oi_change,oi_prev
20260902,standard,Call,2609,71875,0,3,0,3
20260902,standard,Put,2609,51250,0,218,0,218
20260902,standard,Call,2609,72000,548,2498,34,2464
20260902,standard,Put,2609,51500,3,277,2,275
20260902,standard,Call,2609,72125,0,78,0,78
20260902,standard,Put,2609,51750,0,54,0,54
20260902,standard,Call,2609,72250,14,48,8,40
20260902,standard,Put,2609,52000,108,2422,19,2403
20260902,standard,Call,2609,72375,4,14,4,10
20260902,standard,Put,2609,52250,7,64,-3,67
20260902,standard,Call,2609,72500,78,1647,-99,1746
20260902,standard,Put,2609,52500,3,619,-3,622
20260902,standard,Call,2609,72625,1,5,0,5
20260902,standard,Put,2609,52750,8,37,-3,40
20260902,standard,Call,2609,72750,9,304,1,303
20260902,standard,Put,2609,53000,215,2502,15,2487
20260902,standard,Call,2609,72875,3,37,3,34
20260902,standard,Put,2609,53250,5,41,-5,46
20260902,standard,Call,2609,73000,672,2059,395,1664
20260902,standard,Put,2609,53500,35,985,3,982
20260902,standard,Call,2609,73125,0,5,0,5
20260902,standard,Put,2609,53750,0,85,0,85
20260902,standard,Call,2609,73250,0,14,0,14
20260902,standard,Put,2609,54000,234,2861,-42,2903
20260902,standard,Call,2609,73375,1,4,1,3
20260902,standard,Put,2609,54250,8,109,-3,112
20260902,standard,Call,2609,73500,69,530,6,524
20260902,standard,Put,2609,54500,28,691,19,672
20260902,standard,Call,2609,73625,0,5,0,5
20260902,standard,Put,2609,54750,0,270,0,270
20260902,standard,Call,2609,73750,43,53,0,53
20260902,standard,Put,2609,55000,965,5501,-513,6014
20260902,standard,Call,2609,73875,0,25,0,25
20260902,standard,Put,2609,55250,0,20,0,20
20260902,standard,Call,2609,74000,618,1301,-91,1392
20260902,standard,Put,2609,55500,76,761,54,707
20260902,standard,Call,2609,74125,3,6,0,6
20260902,standard,Put,2609,55750,0,22,0,22
20260902,standard,Call,2609,74250,2,6,0,6
20260902,standard,Put,2609,56000,355,2213,149,2064
20260902,standard,Call,2609,74375,0,1,0,1
20260902,standard,Put,2609,56250,1,42,1,41
20260902,standard,Call,2609,74500,45,141,-27,168
20260902,standard,Put,2609,56500,900,1751,856,895
20260902,standard,Call,2609,74625,0,57,0,57
20260902,standard,Put,2609,56750,0,207,0,207
20260902,standard,Call,2609,74750,1,69,1,68
20260902,standard,Put,2609,57000,1882,3966,581,3385
20260902,standard,Call,2609,74875,0,1,0,1
20260902,standard,Put,2609,57250,1,179,-1,180
20260902,standard,Call,2609,75000,418,3463,158,3305
20260902,standard,Put,2609,57500,77,668,14,654
20260902,standard,Call,2609,75125,1,0,-1,1
20260902,standard,Put,2609,57750,1,102,0,102
20260902,standard,Call,2609,75250,5,45,0,45
20260902,standard,Put,2609,58000,548,2599,21,2578
20260902,standard,Call,2609,75375,0,6,0,6
20260902,standard,Put,2609,58250,13,276,4,272
20260902,standard,Call,2609,75500,56,266,16,250
20260902,standard,Put,2609,58375,3,6,3,3
20260902,standard,Call,2609,76000,81,658,-5,663
20260902,standard,Put,2609,58500,1129,2641,735,1906
20260902,standard,Call,2609,76500,21,82,-15,97
20260902,standard,Put,2609,58625,4,5,2,3
20260902,standard,Call,2609,77000,116,833,-87,920
20260902,standard,Put,2609,58750,53,103,7,96
20260902,standard,Call,2609,77500,16,978,0,978
20260902,standard,Put,2609,58875,4,19,4,15
20260902,standard,Call,2609,78000,170,2300,-161,2461
20260902,standard,Put,2609,59000,384,3215,120,3095
20260902,standard,Call,2609,78500,95,112,25,87
20260902,standard,Put,2609,59125,3,24,3,21
20260902,standard,Call,2609,79000,136,204,-48,252
20260902,standard,Put,2609,59250,6,123,6,117
20260902,standard,Call,2609,79500,1,233,-1,234
20260902,standard,Put,2609,59375,1,17,1,16
20260902,standard,Call,2609,80000,3,1827,0,1827
20260902,standard,Put,2609,59500,49,932,19,913
20260902,standard,Call,2609,80500,0,18,0,18
20260902,standard,Put,2609,59625,0,2,0,2
20260902,standard,Call,2609,81000,0,395,0,395
20260902,standard,Put,2609,59750,5,95,2,93
20260902,standard,Call,2609,81500,0,43,0,43
20260902,standard,Put,2609,59875,5,23,2,21
20260902,standard,Call,2609,82000,0,340,0,340
20260902,standard,Put,2609,60000,1960,9768,473,9295
20260902,standard,Call,2609,82500,0,133,0,133
20260902,standard,Put,2609,60125,0,3,0,3
20260902,standard,Call,2609,83000,0,546,0,546
20260902,standard,Put,2609,60250,13,97,0,97
20260902,standard,Call,2609,83500,1,50,1,49
20260902,standard,Put,2609,60375,0,19,0,19
20260902,standard,Call,2609,84000,0,1219,0,1219
20260902,standard,Put,2609,60500,110,2147,25,2122
20260902,standard,Call,2609,84500,0,52,0,52
20260902,standard,Put,2609,60625,3,12,1,11
20260902,standard,Call,2609,85000,0,903,0,903
20260902,standard,Put,2609,60750,2,170,1,169
20260902,standard,Call,2609,87500,0,345,0,345
20260902,standard,Put,2609,60875,0,67,0,67
20260902,standard,Call,2609,90000,0,666,0,666
20260902,standard,Put,2609,61000,1048,2499,-206,2705
20260902,standard,Call,2609,92000,0,57,0,57
20260902,standard,Put,2609,61125,0,36,0,36
20260902,standard,Call,2609,94000,0,17,0,17
20260902,standard,Put,2609,61250,81,80,16,64
20260902,standard,Call,2609,95000,0,43,0,43
20260902,standard,Put,2609,61375,0,2,0,2
20260902,standard,Call,2609,96000,0,20,0,20
20260902,standard,Put,2609,61500,178,1656,79,1577
20260902,standard,Call,2609,98000,0,15,0,15
20260902,standard,Put,2609,61625,0,16,0,16
20260902,standard,Call,2609,100000,0,89,0,89
20260902,standard,Put,2609,61750,23,253,1,252
20260902,standard,Put,2609,61875,0,61,0,61
20260902,standard,Put,2609,62000,830,3564,48,3516
20260902,standard,Call,2610,35000,0,24,0,24
20260902,standard,Put,2609,62125,0,14,0,14
20260902,standard,Call,2610,45000,0,2,0,2
20260902,standard,Put,2609,62250,16,162,9,153
20260902,standard,Call,2610,47500,0,34,0,34
20260902,standard,Put,2609,62375,6,268,4,264
20260902,standard,Call,2610,53000,0,34,0,34
20260902,standard,Put,2609,62500,223,965,11,954
20260902,standard,Call,2610,55000,0,4,0,4
20260902,standard,Put,2609,62625,8,93,4,89
20260902,standard,Call,2610,57000,0,1,0,1
20260902,standard,Put,2609,62750,1,765,0,765
20260902,standard,Call,2610,60000,0,1,0,1
20260902,standard,Put,2609,62875,7,40,0,40
20260902,standard,Call,2610,60500,0,100,0,100
20260902,standard,Put,2609,63000,1729,3201,196,3005
20260902,standard,Call,2610,61000,0,201,0,201
20260902,standard,Put,2609,63125,3,108,0,108
20260902,standard,Call,2610,62000,0,49,0,49
20260902,standard,Put,2609,63250,0,64,0,64
20260902,standard,Call,2610,63000,0,4,0,4
20260902,standard,Put,2609,63375,5,61,3,58
20260902,standard,Call,2610,63500,5,1,1,0
20260902,standard,Put,2609,63500,138,664,-55,719
20260902,standard,Call,2610,63875,0,50,0,50
20260902,standard,Put,2609,63625,0,40,0,40
20260902,standard,Call,2610,64000,24,32,1,31
20260902,standard,Put,2609,63750,5,59,1,58
20260902,standard,Call,2610,64500,29,20,20,0
20260902,standard,Put,2609,63875,4,49,0,49
20260902,standard,Call,2610,65000,117,251,106,145
20260902,standard,Put,2609,64000,1119,3723,691,3032
20260902,standard,Call,2610,65250,5,1,0,1
20260902,standard,Put,2609,64125,7,28,2,26
20260902,standard,Call,2610,65500,0,121,0,121
20260902,standard,Put,2609,64250,27,42,18,24
20260902,standard,Call,2610,65750,0,54,0,54
20260902,standard,Put,2609,64375,0,49,0,49
20260902,standard,Call,2610,65875,0,1,0,1
20260902,standard,Put,2609,64500,373,651,-51,702
20260902,standard,Call,2610,66000,297,712,242,470
20260902,standard,Put,2609,64625,5,66,0,66
20260902,standard,Call,2610,66250,0,4,0,4
20260902,standard,Put,2609,64750,20,500,-22,522
20260902,standard,Call,2610,66375,0,1,0,1
20260902,standard,Put,2609,64875,6,12,-1,13
20260902,standard,Call,2610,66500,0,3,0,3
20260902,standard,Put,2609,65000,162,4133,-230,4363
20260902,standard,Call,2610,66750,3,123,-1,124
20260902,standard,Put,2609,65125,2,34,-2,36
20260902,standard,Call,2610,66875,0,12,0,12
20260902,standard,Put,2609,65250,1,100,0,100
20260902,standard,Call,2610,67000,60,521,12,509
20260902,standard,Put,2609,65375,0,31,0,31
20260902,standard,Call,2610,67500,149,162,39,123
20260902,standard,Put,2609,65500,34,531,-2,533
20260902,standard,Call,2610,67625,85,85,85,0
20260902,standard,Put,2609,65625,2,27,-2,29
20260902,standard,Call,2610,67750,1,1,0,1
20260902,standard,Put,2609,65750,0,697,0,697
20260902,standard,Call,2610,68000,123,654,56,598
20260902,standard,Put,2609,65875,0,1,0,1
20260902,standard,Call,2610,68125,13,6,-8,14
20260902,standard,Put,2609,66000,63,2376,-1,2377
20260902,standard,Call,2610,68250,0,2,0,2
20260902,standard,Put,2609,66125,0,6,0,6
20260902,standard,Call,2610,68500,9,1118,2,1116
20260902,standard,Put,2609,66250,0,65,0,65
20260902,standard,Call,2610,68750,0,103,0,103
20260902,standard,Put,2609,66375,1,5,0,5
20260902,standard,Call,2610,69000,39,2869,6,2863
20260902,standard,Put,2609,66500,2,2013,-2,2015
20260902,standard,Call,2610,69250,0,1,0,1
20260902,standard,Put,2609,66625,0,24,0,24
20260902,standard,Call,2610,69500,120,275,98,177
20260902,standard,Put,2609,66750,0,151,0,151
20260902,standard,Call,2610,69750,0,2,0,2
20260902,standard,Put,2609,67000,38,2362,-4,2366
20260902,standard,Call,2610,69875,0,88,0,88
20260902,standard,Put,2609,67125,0,2,0,2
20260902,standard,Call,2610,70000,170,1269,59,1210
20260902,standard,Put,2609,67250,0,15,0,15
20260902,standard,Call,2610,70250,0,12,0,12
20260902,standard,Put,2609,67500,232,553,0,553
20260902,standard,Call,2610,70375,0,117,0,117
20260902,standard,Put,2609,67625,0,1,0,1
20260902,standard,Call,2610,70500,6,103,1,102
20260902,standard,Put,2609,67750,0,260,0,260
20260902,standard,Call,2610,70750,0,3,0,3
20260902,standard,Put,2609,68000,0,2137,0,2137
20260902,standard,Call,2610,71000,117,152,15,137
20260902,standard,Put,2609,68250,0,109,0,109
20260902,standard,Call,2610,71250,4,104,1,103
20260902,standard,Put,2609,68375,0,1,0,1
20260902,standard,Call,2610,71500,2,257,1,256
20260902,standard,Put,2609,68500,1,170,-1,171
20260902,standard,Call,2610,72000,394,2003,196,1807
20260902,standard,Put,2609,68750,0,69,0,69
